batsman,bowler,total_runs,total_balls,dismissals,strike_rate,dismissal_rate,batting_hand,bowling_style,venue
13,51,22,25,1,88.0,4.0,0,6,10
13,51,22,25,1,88.0,4.0,0,6,14
13,51,22,25,1,88.0,4.0,0,6,18
13,52,39,22,0,177.27,0.0,0,6,0
13,52,39,22,0,177.27,0.0,0,6,9
13,52,39,22,0,177.27,0.0,0,6,10
13,52,39,22,0,177.27,0.0,0,6,19
13,65,28,31,0,90.32,0.0,0,11,1
13,65,28,31,0,90.32,0.0,0,11,4
13,65,28,31,0,90.32,0.0,0,11,10
13,65,28,31,0,90.32,0.0,0,11,17
13,67,58,31,0,187.1,0.0,0,4,0
13,67,58,31,0,187.1,0.0,0,4,5
13,68,27,21,0,128.57,0.0,0,8,0
13,68,27,21,0,128.57,0.0,0,8,3
13,68,27,21,0,128.57,0.0,0,8,8
13,68,27,21,0,128.57,0.0,0,8,10
13,68,27,21,0,128.57,0.0,0,8,11
13,73,37,28,1,132.14,3.57,0,3,0
13,73,37,28,1,132.14,3.57,0,3,8
13,73,37,28,1,132.14,3.57,0,3,11
13,75,37,29,0,127.59,0.0,0,11,0
13,75,37,29,0,127.59,0.0,0,11,3
13,75,37,29,0,127.59,0.0,0,11,19
13,82,54,45,0,120.0,0.0,0,2,1
13,82,54,45,0,120.0,0.0,0,2,4
13,82,54,45,0,120.0,0.0,0,2,10
13,82,54,45,0,120.0,0.0,0,2,17
13,82,54,45,0,120.0,0.0,0,2,19
13,84,17,20,0,85.0,0.0,0,10,0
13,84,17,20,0,85.0,0.0,0,10,5
13,91,40,32,1,125.0,3.12,0,8,1
13,91,40,32,1,125.0,3.12,0,8,4
13,91,40,32,1,125.0,3.12,0,8,10
13,91,40,32,1,125.0,3.12,0,8,17
14,3,27,21,0,128.57,0.0,1,4,2
14,3,27,21,0,128.57,0.0,1,4,14
14,3,27,21,0,128.57,0.0,1,4,19
14,20,29,24,1,120.83,4.17,1,10,2
14,20,29,24,1,120.83,4.17,1,10,14
14,20,29,24,1,120.83,4.17,1,10,19
14,65,31,30,2,103.33,6.67,1,11,2
14,65,31,30,2,103.33,6.67,1,11,3
14,65,31,30,2,103.33,6.67,1,11,17
14,65,31,30,2,103.33,6.67,1,11,19
14,70,32,32,2,100.0,6.25,1,8,10
14,70,32,32,2,100.0,6.25,1,8,13
14,70,32,32,2,100.0,6.25,1,8,14
14,70,32,32,2,100.0,6.25,1,8,18
14,70,32,32,2,100.0,6.25,1,8,19
14,77,22,21,1,104.76,4.76,1,4,4
14,77,22,21,1,104.76,4.76,1,4,7
14,77,22,21,1,104.76,4.76,1,4,14
14,82,55,36,0,152.78,0.0,1,2,2
14,82,55,36,0,152.78,0.0,1,2,3
14,82,55,36,0,152.78,0.0,1,2,17
14,82,55,36,0,152.78,0.0,1,2,19
14,82,55,36,0,152.78,0.0,1,2,20
14,91,49,34,3,144.12,8.82,1,8,2
14,91,49,34,3,144.12,8.82,1,8,3
14,91,49,34,3,144.12,8.82,1,8,10
14,91,49,34,3,144.12,8.82,1,8,14
14,91,49,34,3,144.12,8.82,1,8,17
14,91,49,34,3,144.12,8.82,1,8,19
15,1,30,21,1,142.86,4.76,0,6,0
15,1,30,21,1,142.86,4.76,0,6,4
15,10,17,21,0,80.95,0.0,0,9,10
15,10,17,21,0,80.95,0.0,0,9,13
15,19,28,24,0,116.67,0.0,0,11,9
15,19,28,24,0,116.67,0.0,0,11,11
15,19,28,24,0,116.67,0.0,0,11,13
15,37,32,26,1,123.08,3.85,0,2,0
15,37,32,26,1,123.08,3.85,0,2,4
15,37,32,26,1,123.08,3.85,0,2,10
15,38,43,20,0,215.0,0.0,0,0,0
15,38,43,20,0,215.0,0.0,0,0,4
15,41,69,36,0,191.67,0.0,0,2,10
15,41,69,36,0,191.67,0.0,0,2,11
15,41,69,36,0,191.67,0.0,0,2,13
15,59,23,23,1,100.0,4.35,0,5,10
15,59,23,23,1,100.0,4.35,0,5,14
16,36,23,25,0,92.0,0.0,1,4,2
16,36,23,25,0,92.0,0.0,1,4,9
16,61,37,20,1,185.0,5.0,1,6,10
16,61,37,20,1,185.0,5.0,1,6,16
16,80,25,20,0,125.0,0.0,1,8,9
16,80,25,20,0,125.0,0.0,1,8,17
17,2,34,21,0,161.9,0.0,1,6,21
17,3,18,20,1,90.0,5.0,1,4,0
17,3,18,20,1,90.0,5.0,1,4,6
17,3,18,20,1,90.0,5.0,1,4,9
17,6,38,29,0,131.03,0.0,1,4,5
17,6,38,29,0,131.03,0.0,1,4,9
17,6,38,29,0,131.03,0.0,1,4,16
17,6,38,29,0,131.03,0.0,1,4,18
17,6,38,29,0,131.03,0.0,1,4,19
17,8,62,55,1,112.73,1.82,1,3,3
17,8,62,55,1,112.73,1.82,1,3,4
17,8,62,55,1,112.73,1.82,1,3,6
17,8,62,55,1,112.73,1.82,1,3,8
17,8,62,55,1,112.73,1.82,1,3,9
17,8,62,55,1,112.73,1.82,1,3,15
17,8,62,55,1,112.73,1.82,1,3,17
17,8,62,55,1,112.73,1.82,1,3,19
17,9,50,36,1,138.89,2.78,1,6,4
17,9,50,36,1,138.89,2.78,1,6,6
17,9,50,36,1,138.89,2.78,1,6,9
17,9,50,36,1,138.89,2.78,1,6,14
17,9,50,36,1,138.89,2.78,1,6,17
17,9,50,36,1,138.89,2.78,1,6,19
17,10,62,39,0,158.97,0.0,1,9,0
17,10,62,39,0,158.97,0.0,1,9,3
17,10,62,39,0,158.97,0.0,1,9,9
17,10,62,39,0,158.97,0.0,1,9,16
17,10,62,39,0,158.97,0.0,1,9,18
17,10,62,39,0,158.97,0.0,1,9,19
17,15,69,48,2,143.75,4.17,1,8,0
17,15,69,48,2,143.75,4.17,1,8,6
17,15,69,48,2,143.75,4.17,1,8,7
17,15,69,48,2,143.75,4.17,1,8,19
17,15,69,48,2,143.75,4.17,1,8,20
17,22,66,38,1,173.68,2.63,1,4,3
17,22,66,38,1,173.68,2.63,1,4,4
17,22,66,38,1,173.68,2.63,1,4,6
17,22,66,38,1,173.68,2.63,1,4,15
17,22,66,38,1,173.68,2.63,1,4,17
17,28,56,28,1,200.0,3.57,1,3,9
17,28,56,28,1,200.0,3.57,1,3,13
17,28,56,28,1,200.0,3.57,1,3,16
17,28,56,28,1,200.0,3.57,1,3,19
17,30,44,33,2,133.33,6.06,1,7,4
17,30,44,33,2,133.33,6.06,1,7,9
17,30,44,33,2,133.33,6.06,1,7,18
17,31,42,20,0,210.0,0.0,1,2,9
17,31,42,20,0,210.0,0.0,1,2,19
17,36,45,42,1,107.14,2.38,1,4,0
17,36,45,42,1,107.14,2.38,1,4,2
17,36,45,42,1,107.14,2.38,1,4,4
17,36,45,42,1,107.14,2.38,1,4,9
17,37,38,23,1,165.22,4.35,1,2,0
17,37,38,23,1,165.22,4.35,1,2,9
17,37,38,23,1,165.22,4.35,1,2,19
17,39,69,36,0,191.67,0.0,1,6,6
17,39,69,36,0,191.67,0.0,1,6,19
17,39,69,36,0,191.67,0.0,1,6,20
17,44,36,37,2,97.3,5.41,1,6,13
17,44,36,37,2,97.3,5.41,1,6,14
17,44,36,37,2,97.3,5.41,1,6,19
17,44,36,37,2,97.3,5.41,1,6,20
17,45,24,26,1,92.31,3.85,1,11,4
17,45,24,26,1,92.31,3.85,1,11,9
17,45,24,26,1,92.31,3.85,1,11,10
17,45,24,26,1,92.31,3.85,1,11,13
17,51,54,34,1,158.82,2.94,1,6,3
17,51,54,34,1,158.82,2.94,1,6,5
17,51,54,34,1,158.82,2.94,1,6,6
17,51,54,34,1,158.82,2.94,1,6,9
17,51,54,34,1,158.82,2.94,1,6,19
17,56,30,25,1,120.0,4.0,1,2,9
17,56,30,25,1,120.0,4.0,1,2,10
17,56,30,25,1,120.0,4.0,1,2,19
17,56,30,25,1,120.0,4.0,1,2,20
17,61,73,38,2,192.11,5.26,1,6,5
17,61,73,38,2,192.11,5.26,1,6,9
17,61,73,38,2,192.11,5.26,1,6,16
17,61,73,38,2,192.11,5.26,1,6,19
17,62,27,26,0,103.85,0.0,1,8,9
17,62,27,26,0,103.85,0.0,1,8,19
17,65,45,40,0,112.5,0.0,1,11,9
17,65,45,40,0,112.5,0.0,1,11,13
17,65,45,40,0,112.5,0.0,1,11,14
17,65,45,40,0,112.5,0.0,1,11,17
17,65,45,40,0,112.5,0.0,1,11,19
17,67,35,20,0,175.0,0.0,1,4,9
17,67,35,20,0,175.0,0.0,1,4,13
17,68,40,33,0,121.21,0.0,1,8,0
17,68,40,33,0,121.21,0.0,1,8,4
17,68,40,33,0,121.21,0.0,1,8,15
17,70,17,29,2,58.62,6.9,1,8,0
17,70,17,29,2,58.62,6.9,1,8,9
17,70,17,29,2,58.62,6.9,1,8,18
17,70,17,29,2,58.62,6.9,1,8,19
17,75,34,39,1,87.18,2.56,1,11,0
17,75,34,39,1,87.18,2.56,1,11,6
17,75,34,39,1,87.18,2.56,1,11,7
17,75,34,39,1,87.18,2.56,1,11,19
17,75,34,39,1,87.18,2.56,1,11,20
17,76,65,46,1,141.3,2.17,1,10,0
17,76,65,46,1,141.3,2.17,1,10,4
17,76,65,46,1,141.3,2.17,1,10,9
17,76,65,46,1,141.3,2.17,1,10,14
17,76,65,46,1,141.3,2.17,1,10,17
17,76,65,46,1,141.3,2.17,1,10,18
17,91,27,28,2,96.43,7.14,1,8,9
17,91,27,28,2,96.43,7.14,1,8,14
17,91,27,28,2,96.43,7.14,1,8,17
17,91,27,28,2,96.43,7.14,1,8,18
17,91,27,28,2,96.43,7.14,1,8,19
17,92,20,21,1,95.24,4.76,1,2,0
17,92,20,21,1,95.24,4.76,1,2,9
17,92,20,21,1,95.24,4.76,1,2,19
18,3,40,30,0,133.33,0.0,1,4,6
18,3,40,30,0,133.33,0.0,1,4,9
18,3,40,30,0,133.33,0.0,1,4,14
18,3,40,30,0,133.33,0.0,1,4,19
18,9,47,23,0,204.35,0.0,1,6,4
18,9,47,23,0,204.35,0.0,1,6,6
18,9,47,23,0,204.35,0.0,1,6,7
18,9,47,23,0,204.35,0.0,1,6,9
18,9,47,23,0,204.35,0.0,1,6,14
18,36,30,20,2,150.0,10.0,1,4,4
18,36,30,20,2,150.0,10.0,1,4,6
18,36,30,20,2,150.0,10.0,1,4,7
18,36,30,20,2,150.0,10.0,1,4,10
18,65,50,32,3,156.25,9.38,1,11,9
18,65,50,32,3,156.25,9.38,1,11,11
18,65,50,32,3,156.25,9.38,1,11,14
18,65,50,32,3,156.25,9.38,1,11,17
18,67,35,21,2,166.67,9.52,1,4,4
18,67,35,21,2,166.67,9.52,1,4,9
18,67,35,21,2,166.67,9.52,1,4,13
18,67,35,21,2,166.67,9.52,1,4,19
18,68,47,28,0,167.86,0.0,1,8,3
18,68,47,28,0,167.86,0.0,1,8,6
18,68,47,28,0,167.86,0.0,1,8,10
18,70,41,28,1,146.43,3.57,1,8,3
18,70,41,28,1,146.43,3.57,1,8,9
18,70,41,28,1,146.43,3.57,1,8,10
18,70,41,28,1,146.43,3.57,1,8,19
18,70,41,28,1,146.43,3.57,1,8,20
18,72,37,20,1,185.0,5.0,1,8,2
18,72,37,20,1,185.0,5.0,1,8,7
18,72,37,20,1,185.0,5.0,1,8,9
18,72,37,20,1,185.0,5.0,1,8,18
18,75,15,26,2,57.69,7.69,1,11,7
18,75,15,26,2,57.69,7.69,1,11,9
18,75,15,26,2,57.69,7.69,1,11,11
18,75,15,26,2,57.69,7.69,1,11,18
18,75,15,26,2,57.69,7.69,1,11,20
18,82,27,23,1,117.39,4.35,1,2,6
18,82,27,23,1,117.39,4.35,1,2,9
18,82,27,23,1,117.39,4.35,1,2,10
18,82,27,23,1,117.39,4.35,1,2,14
18,91,43,23,0,186.96,0.0,1,8,9
18,91,43,23,0,186.96,0.0,1,8,14
18,91,43,23,0,186.96,0.0,1,8,17
19,3,29,21,1,138.1,4.76,1,4,0
19,3,29,21,1,138.1,4.76,1,4,5
19,3,29,21,1,138.1,4.76,1,4,16
19,15,78,37,1,210.81,2.7,1,8,0
