batsman,bowler,total_runs,total_balls,dismissals,strike_rate,dismissal_rate,batting_hand,bowling_style
A Raghuvanshi,Harsh Dubey,4,6,0,66.67,0.0,Right-hand,Left-arm orthodox
A Raghuvanshi,I Sharma,7,3,0,233.33,0.0,Right-hand,Right-arm fast
A Raghuvanshi,JC Archer,2,3,1,66.67,33.33,Right-hand,Right-arm fast
A Raghuvanshi,JD Unadkat,4,3,0,133.33,0.0,Right-hand,Left-arm medium-fast
A Raghuvanshi,JJ Bumrah,1,2,0,50.0,0.0,Right-hand,Right-arm fast
A Raghuvanshi,JR Hazlewood,8,4,0,200.0,0.0,Right-hand,Right-arm fast-medium
A Raghuvanshi,KH Pandya,12,12,0,100.0,0.0,Right-hand,Left-arm orthodox
A Raghuvanshi,KR Sen,1,3,1,33.33,33.33,Right-hand,Right-arm fast
A Raghuvanshi,Kuldeep Yadav,5,7,0,71.43,0.0,Right-hand,Left-arm chinaman
A Raghuvanshi,LS Livingstone,4,5,0,80.0,0.0,Right-hand,Right-arm offbreak
A Raghuvanshi,M Jansen,8,6,0,133.33,0.0,Right-hand,Left-arm fast-medium
A Raghuvanshi,M Prasidh Krishna,5,2,0,250.0,0.0,Right-hand,Right-arm fast
A Raghuvanshi,M Theekshana,18,11,0,163.64,0.0,Right-hand,Right-arm offbreak
A Raghuvanshi,MP Stoinis,1,1,0,100.0,0.0,Right-hand,Right-arm medium
A Raghuvanshi,MR Marsh,4,4,0,100.0,0.0,Right-hand,Right-arm medium-fast
A Raghuvanshi,Mohammed Shami,6,3,0,200.0,0.0,Right-hand,Right-arm fast
A Raghuvanshi,Mohammed Siraj,7,6,0,116.67,0.0,Right-hand,Right-arm fast
A Raghuvanshi,Mohsin Khan,6,4,1,150.0,25.0,Right-hand,Left-arm fast-medium
A Raghuvanshi,Mustafizur Rahman,10,8,0,125.0,0.0,Right-hand,Left-arm fast-medium
A Raghuvanshi,N Rana,6,3,0,200.0,0.0,Right-hand,Right-arm offbreak
A Raghuvanshi,N Thushara,12,5,1,240.0,20.0,Right-hand,Right-arm fast
A Raghuvanshi,Naveen-ul-Haq,5,3,0,166.67,0.0,Right-hand,Right-arm medium-fast
A Raghuvanshi,Nithish Kumar Reddy,3,5,0,60.0,0.0,Right-hand,Right-arm medium-fast
A Raghuvanshi,Noor Ahmad,1,2,1,50.0,50.0,Right-hand,Left-arm wrist-spin
A Raghuvanshi,PHKD Mendis,1,3,1,33.33,33.33,Right-hand,Right-arm legbreak
A Raghuvanshi,PJ Cummins,5,6,0,83.33,0.0,Right-hand,Right-arm fast
A Raghuvanshi,PVD Chameera,5,4,1,125.0,25.0,Right-hand,Right-arm fast
A Raghuvanshi,PWH de Silva,27,17,0,158.82,0.0,Right-hand,Right-arm offbreak
A Raghuvanshi,R Ashwin,3,3,0,100.0,0.0,Right-hand,Right-arm offbreak
A Raghuvanshi,R Parag,15,11,0,136.36,0.0,Right-hand,Right-arm offbreak
A Raghuvanshi,RA Jadeja,0,1,1,0.0,100.0,Right-hand,Left-arm orthodox
A Raghuvanshi,Rashid Khan,8,4,0,200.0,0.0,Right-hand,Right-arm legbreak
