batsman,bowler,total_runs,total_balls,dismissals,strike_rate,dismissal_rate,batting_hand,bowling_style
KH Pandya,Kuldeep Yadav,31,32,1,96.88,3.12,Left-hand,Left-arm chinaman
KH Pandya,Mukesh Kumar,43,27,1,159.26,3.7,Left-hand,Right-arm medium-fast
KH Pandya,R Ashwin,16,20,1,80.0,5.0,Left-hand,Right-arm offbreak
KL Rahul,AR Patel,17,26,0,65.38,0.0,Right-hand,Left-arm orthodox
KL Rahul,Arshdeep Singh,42,35,2,120.0,5.71,Right-hand,Left-arm medium-fast
KL Rahul,Avesh Khan,58,39,1,148.72,2.56,Right-hand,Right-arm fast
KL Rahul,B Kumar,52,51,2,101.96,3.92,Right-hand,Right-arm medium
KL Rahul,C Sakariya,61,38,3,160.53,7.89,Right-hand,Left-arm medium-fast
KL Rahul,CH Morris,31,20,0,155.0,0.0,Right-hand,Right-arm fast-medium
KL Rahul,CV Varun,32,30,0,106.67,0.0,Right-hand,Right-arm legbreak
KL Rahul,DL Chahar,74,42,0,176.19,0.0,Right-hand,Right-arm medium
KL Rahul,DR Sams,43,31,0,138.71,0.0,Right-hand,Right-arm fast-medium
KL Rahul,HV Patel,45,32,1,140.62,3.12,Right-hand,Right-arm offbreak
KL Rahul,J Yadav,17,21,0,80.95,0.0,Right-hand,Right-arm offbreak
KL Rahul,JD Unadkat,42,27,1,155.56,3.7,Right-hand,Left-arm medium-fast
KL Rahul,JJ Bumrah,53,50,0,106.0,0.0,Right-hand,Right-arm fast
KL Rahul,JR Hazlewood,85,52,1,163.46,1.92,Right-hand,Right-arm fast-medium
KL Rahul,K Rabada,66,36,3,183.33,8.33,Right-hand,Right-arm fast
KL Rahul,KH Pandya,41,36,0,113.89,0.0,Right-hand,Left-arm orthodox
KL Rahul,M Pathirana,23,22,2,104.55,9.09,Right-hand,Right-arm fast
KL Rahul,M Prasidh Krishna,37,28,2,132.14,7.14,Right-hand,Right-arm fast
KL Rahul,Mohammed Shami,32,34,2,94.12,5.88,Right-hand,Right-arm fast
KL Rahul,Mohammed Siraj,114,74,1,154.05,1.35,Right-hand,Right-arm fast
KL Rahul,Mukesh Choudhary,36,23,0,156.52,0.0,Right-hand,Left-arm medium-fast
KL Rahul,Mustafizur Rahman,62,46,1,134.78,2.17,Right-hand,Left-arm fast-medium
